user_id,course_id,title,subject,level,skills,rating,reviewcount,students,price,platform,prerequisites,duration,instructor,language,description
1,C1,Python for Absolute Beginners,Programming,Beginner,"Python, Logic",4.8,2400,45000,0,Coursera,None,12 hours,Dr. John Smith,English,Learn Python programming from scratch
1,C3,Data Science with Python,Data Science,Intermediate,"Python, Pandas",4.7,1800,35000,49,Udemy,Python for Absolute Beginners,18 hours,Dr. Sarah Lee,English,Master data analysis visualization
1,C14,Data Structures and Algorithms,Programming,Intermediate,"Python, Algorithms",4.9,3200,98000,39,Udemy,Python for Absolute Beginners,32 hours,Abdul Bari,English,Master essential data structures
2,C4,Web Development Bootcamp,Web Development,Beginner,"HTML, CSS, JS",4.8,5600,120000,79,Udemy,None,40 hours,Angela Yu,English,Complete full-stack web development
2,C24,Django Web Framework,Web Development,Intermediate,"Python, Django",4.7,2100,51000,59,Udemy,Python for Absolute Beginners,22 hours,Django Expert,English,Build robust web applications
2,C27,Angular Modern Web Development,Web Development,Intermediate,"TypeScript, Angular",4.5,1900,44000,69,Udemy,Web Development Bootcamp,26 hours,Web Developer,English,Build single-page applications
3,C2,Advanced Machine Learning,AI,Advanced,"ML, Deep Learning",4.9,4100,28000,99,Coursera,Data Science with Python,24 hours,Prof. Andrew Ng,English,Deep dive into neural networks
3,C9,Natural Language Processing,AI,Advanced,"NLP, Transformers",4.8,2800,19000,129,Coursera,Advanced Machine Learning,22 hours,Prof. Emily Chen,English,Advanced NLP techniques
3,C16,TensorFlow Machine Learning,AI,Advanced,"TensorFlow, ML",4.8,3100,34000,0,Coursera,Advanced Machine Learning,26 hours,Google AI Team,English,Build and deploy ML models
4,C5,SQL Database Design,Databases,Intermediate,"SQL, Queries",4.6,1600,42000,39,Udacity,None,14 hours,John Doe,English,Comprehensive SQL course
4,C29,MongoDB NoSQL Databases,Databases,Intermediate,"MongoDB, NoSQL",4.6,1400,36000,59,MongoDB University,SQL Database Design,14 hours,DB Expert,English,Master MongoDB covering documents
5,C6,Cloud Computing with AWS,Cloud Computing,Intermediate,"AWS, Cloud",4.7,2200,38000,89,Coursera,None,20 hours,Cloud Expert,English,Learn Amazon Web Services
5,C8,Docker and Kubernetes,DevOps,Advanced,"Docker, K8s",4.9,2700,31000,99,Pluralsight,Cloud Computing with AWS,16 hours,DevOps Pro,English,Master containerization orchestration
5,C21,Git and GitHub Essentials,DevOps,Beginner,"Git, GitHub",4.7,4100,125000,0,Udemy,None,8 hours,Dev Mentor,English,Version control with Git
6,C11,Digital Marketing Fundamentals,Marketing,Beginner,"SEO, Social Media",4.6,2900,67000,59,Udemy,None,15 hours,Marketing Guru,English,Learn SEO social media marketing
6,C22,Business Intelligence with Tableau,Data Visualization,Intermediate,"Tableau, BI",4.6,1700,43000,69,Udemy,None,16 hours,BI Expert,English,Data visualization and BI
7,C13,Cybersecurity Essentials,Security,Intermediate,"Security, Hacking",4.8,1900,41000,79,Coursera,None,20 hours,Security Specialist,English,Network security ethical hacking
7,C23,Ethical Hacking and Penetration Testing,Security,Advanced,"Hacking, Pentesting",4.8,2400,29000,129,Udemy,Cybersecurity Essentials,28 hours,Security Pro,English,Advanced ethical hacking techniques
8,C10,Java Programming Masterclass,Programming,Intermediate,"Java, OOP",4.7,7100,215000,49,Udemy,None,80 hours,Tim Buchalka,English,Complete Java course covering OOP
8,C50,Spring Boot Microservices,Programming,Advanced,"Spring Boot, Java",4.8,1800,26000,99,Udemy,Java Programming Masterclass,30 hours,Java Expert,English,Build enterprise Java applications
9,C7,React Native Mobile Development,Mobile Dev,Intermediate,"React Native, Mobile",4.5,2300,52000,69,Udemy,Web Development Bootcamp,28 hours,Maximilian Schwarzmuller,English,Build cross-platform mobile apps
